# THE COMPONENT PROP SURFACE, as data.
#
# One row per prop per component: what a component reads, what type it
# takes, whether it is required, and what it does. A machine-readable
# restatement of reference-components.md, published so that a generator
# driving Jostraca from another language can pin its own schema against
# this file rather than against a page of prose.
#
# It is published for reading, not for importing. There is no package
# edge: fetch this file at a tag, vendor it, and pin it -- Jostraca takes
# no dependency on its consumers and its consumers take none on it. The
# version it describes is the tag it was fetched at; nothing is stamped
# in the file, because a stamp is one more thing that can go stale.
#
# WHAT KEEPS IT TRUE: ts/test/cmp-surface.test.ts reads this file and
# the components beside it, and fails when the two disagree -- a prop
# read by a component with no row here, a row naming a prop no component
# reads, or a component whose refusal of an unknown prop does not match
# what its `*` row claims. go/cmp_surface_test.go holds the Go port to
# the same `*` rows through the data path, which is where the two ports
# have to agree because it is the surface a data tree reaches.
#
# FORMAT: tab-separated, one case per line, with a header row. Lines
# that are blank or start with `#` are ignored. This is the same shape
# as the shared corpus in test/spec, and deliberately NOT in that
# directory: both stacks' spec runners read every .tsv there as function
# cases and fail on an unknown `fn`.
#
#   cmp       the component, spelled as it is exported and as a tree's
#             `cmp` key names it
#   prop      the prop; `*` is the row for every prop NOT listed
#   type      string, number, boolean, object, array, any, or a `|`
#             union. A data tree carries JSON, so a RegExp or a function
#             is reachable only from a generator written in the host
#             language
#   required  yes or no
#   note      what it does. A note beginning `unused:` marks a prop both
#             ports accept and neither reads; `refused:` and `ignored:`
#             on a `*` row say what an unknown prop does
#
# NOT LISTED, deliberately: `ctx$`. It is the ambient context, written
# into every props object by `cmp()` and never by an author. Every
# component receives it and no tree should ever state it.
#
# ALSO NOT LISTED: the props a PARENT binds for one invocation of its
# children. `ListItems` binds `item`, `indent` and `replace` so that
# `{item.path}` means something, and a child receives them whether or
# not its own row set names them. They are bindings rather than props an
# author writes.
cmp	prop	type	required	note
Project	name	string	no	Names the project; joins the node path. No output effect of its own.
Project	folder	string	no	Output folder, joined to the run's folder. A tree is refused an absolute path or a `..` segment.
Project	*	-	-	ignored: an unknown prop is accepted and dropped.
Folder	name	string	no	One or more path segments below the enclosing folder. A `..` segment is refused.
Folder	*	-	-	ignored: an unknown prop is accepted and dropped.
File	name	string	yes	Path below the enclosing folder; may hold `/`. A `..` segment is refused, and two Files resolving to one path are refused.
File	exclude	boolean|string|array	no	Leave the file alone when it already exists. A string or a list of strings names paths, relative to the output folder.
File	mode	number	no	POSIX permission bits for the generated file, e.g. 0o755. Unset leaves the platform default.
File	*	-	-	ignored: an unknown prop is accepted and dropped.
Content	arg	any	no	Source text, and the positional form `Content('text')`. Outranks `src`. A non-string is stringified.
Content	src	string	no	Source text, used when `arg` is absent. A string child is used when both are.
Content	name	string	no	Names the span; joins the node path. No output effect.
Content	indent	string|number	no	A number is that many spaces, a string is a literal prefix. Applied to raw content as well as rendered.
Content	extra	object	no	Merged over the generate model for this span only. Not read under `raw`.
Content	replace	object	no	Extra substitutions, keyed by literal, `/regexp/` or `#Tag`. Not read under `raw`.
Content	raw	boolean	no	Hand the bytes through untouched: no model substitution and no `replace`. Default false, because a generator writing its own content wants the model in scope.
Content	*	-	-	ignored: an unknown prop is accepted and dropped.
Line	arg	any	no	Source text, and the positional form `Line('text')`. Outranks `src`. A newline is appended before rendering.
Line	src	string	no	Source text, used when `arg` is absent. A string child is used when both are.
Line	name	string	no	Names the span; joins the node path. No output effect.
Line	indent	string|number	no	A number is that many spaces, a string is a literal prefix. Applied to raw content as well as rendered.
Line	extra	object	no	Merged over the generate model for this line only. Not read under `raw`.
Line	replace	object	no	Extra substitutions, keyed by literal, `/regexp/` or `#Tag`. Not read under `raw`.
Line	raw	boolean	no	Hand the bytes through untouched: no model substitution and no `replace`. Default false.
Line	*	-	-	ignored: an unknown prop is accepted and dropped.
Fragment	from	string	yes	Path of the template file. A relative path resolves against the output folder. The file must exist.
Fragment	indent	string|number	no	A number is that many spaces, a string is a literal prefix. Applied to the whole fragment.
Fragment	replace	object	no	Extra substitutions, applied to the template as it is read.
Fragment	eject	array	no	A start and end marker pair; only the region between them is read.
Fragment	exclude	any	no	unused: declared by both ports and read by neither.
Fragment	*	-	-	refused: an unknown prop fails validation and the run stops.
Slot	name	string	no	Matches the `<[SLOT:name]>` marker in the enclosing Fragment. Absent means the unnamed `<[SLOT]>` marker.
Slot	*	-	-	ignored: an unknown prop is accepted and dropped.
Inject	name	string	yes	Path of the file to edit, below the enclosing folder. It must already exist; Inject rewrites a region rather than creating a file.
Inject	markers	array	no	The start and end marker pair, as two non-empty strings. Default `#--START--#\n` and `\n#--END--#`.
Inject	exclude	boolean	no	Leave the target alone. Coerced with `!!`, so any truthy value excludes.
Inject	*	-	-	ignored: an unknown prop is accepted and dropped.
CopyFiles	from	string	yes	File or directory to copy, independent of the output folder. It must exist.
CopyFiles	to	string	no	Destination name below the enclosing folder, when it differs from the source name.
CopyFiles	replace	object	no	Substitutions applied to copied text. Binary files are copied unchanged.
CopyFiles	exclude	boolean|string|array	no	Paths to skip. A scalar string or RegExp is as legal as a list of them.
CopyFiles	*	-	-	refused: an unknown prop fails validation and the run stops.
ListItems	item	array|object	no	Walked once per element, with each element bound as `item` for the children.
ListItems	line	boolean	no	`false` suppresses the blank line written after the last item. Default true.
ListItems	indent	string|number	no	Set on the node and bound for the children, so a child may apply it itself.
ListItems	*	-	-	ignored: an unknown prop is accepted and dropped.
